Smiles,Score
CCNc1c(C)c(NN)c(OCC)c(OO)c1N,0
CCCC(O)(CC)C(N)(CO)C(C)CC,6.834674358
CCc1c(O)c(OOF)c(F)c(ON)c1PC,0
Cc1cc(NO)c(CN)c(OO)c1C,0
CCCC(C)C(Cl)(CC)CN,6.866613388
Cc1ccc(N)cc1OP,0
CNCOCCl,0
CCOC(C)N=C(N)CN,0
CCC(N)CC(N)CC(O)(CC)CO,5.798169136
CCC1(CC)C(N)C(O)(C(C)N)C(O)(SC)C(C)(N)C2CC(OC)(C2(C)C)C1(C)N(C)O,0
CNc1cc(O)c(C(C)O)cc1O,7.518528461
CCN(CS)CC(F)C(C)C(C)(O)C(C)(O)C1(O)CPO1,0
CC(C)C1(CON)CCC(NO)(OO)C1N,0
CCO[SH]=C(C)c1c(C)c(OO)c(N)c(S)c1CN,0
CCC1(OC)C=C(CNCN)C=C1C,0
CC(O)C=C(S)C(N)COCl,0
CON(O)C(C)(C)S,0
CCC1=C(NC)C(CO)C(C)=C1F,0
NCCC(N)O,0
CCSC(C)c1cc(OO)c(OC(C)C)c(C)c1C,0
CC(C(N)OO)C(N)(CN)CC=N,0
C=C(C(C)ON)N(OS)PC(C)(O)CC,0
CC(NO)N(C)C(C)(C)N(CN)OON,0
CCOOOC(O)(CC)C(C)(C)CC,0
CC(O)NC1CCC(C)(C)C(NS)C1,0
NCCCC(Cl)Cl,3.098501205
Cc1c(OCC(C)C)c(C)c2c(N)c1O2,0
CN1N2N(C)P1N2N,0
CCC(C)(NC)C(C)C,8.095247984
CNc1c(C(C)P)cc(CN)c(C(O)Cl)c1N,0
CCCC(C)NC(F)(CC)C1CC(C)(F)O1,0
C=CC(N)(CCl)CC(N)(OF)N(N)N,0
CC(N)C(N)N,0
CCN(N)C(C)(C)C,8.118644714
CC(C)C(N)(CO)C(O)O,5.899302483
CCC(N)CC(C)(CC)C(N)(NCN)NCN,0
CCC(C)C=C(C)Cl,7.093048096
CCC(C)(CN(C)O)C(O)C(O)(C(C)C)C(C)CCC(P)N(C)O,0
CC(O)(CO)CNC(O)N(O)CO,0
C=C1C(CC)(ON)C1(C)C(C)S,6.714664936
Cc1cc(NO)c(C(C)N)c(S)c1N,7.208941936
CCC(C)C1(CP)CC(C(O)ON(O)C(C)O)(N(CC)COC)O1,0
CCC(O)c1cc(COF)c(OON)cc1NC,0
CCC(CC(C)C)(C(F)CN)C(C)OC(O)C(C)N,0
CCN(C)C(F)(C(C)C)C(O)CN,0
CCON(NOCN)C(C(O)CN)C(N)(Cl)OO,0
CCNC(O)(CC(C)(O)P)C(C)C,0
Cc1cc(C(C)OCO)c(C)cc1O,0
COC(C)(C)NC(C)(O)F,0
CCC(NOO)(ON(C)C)C(CN)CP,0
CN(N)C(C)(F)CN,0
CPNN(NO)NF,0
CCC(C)(O)[PH](C)(O)N(N)CO,0
CCCC=C(C)CC=CN(CC)OS,0
CCP(F)C=CC(C)N,0
CC(S)(NN)NC(O)(F)OP,0
CCC(C)(N)C(O)C(N)(CC)C(CON)NO,0
CCC1(O)CC(C)(O)CC(N)(P)C1C,0
CCC(C)N(C)OC,0
CNON(OC)ON,0
CCC(N)(CF)C(N)(F)COC,0
CCC(N)C(N)N(N)CP,0
COc1cc(N)c(C)c(C(COO)C(C)OC)c1,0
CC1C(S)CC(CN)(NP)C(C)CC(O)(ONN)C1N,0
CCCS,9.830701351
CC=CC(OO)(C(N)OF)C(O)(Cl)C(N)OC,0
NNOOO,0
CN(S)N=C(P)NN(C)COCF,0
CCCCN(S)C(CNC)OO,0
CCC(CO)(ON(O)S)C(N)O,0
Cc1ccc(CCCCl)c(CN)c1,8.084187984
CCC1(CN)CCCCC1CO,7.051151991
NNO,0
CC(C)C(C)(C)CO,9.292604685
CC1CC(O)CC1CN,6.820034504
C=Pc1cccc(OC)c1O,0
CCN(N)c1cc(OC(S)(NCl)C2(NO)ONC2F)c(C)c(OC)c1CO,0
CCN(C)C(F)=CC=C(NC)C(C)(O)O,0
CN(OP)c1c(N)c(CN)c2c3c1N2C3,0
CCNC(C)(F)S,0
CCON(N=O)c1c(C)cc(C)cc1C,0
CCC1CCC(C(O)C(C)O)C(C)C1,5.230799198
COc1cc(C(C)(CF)N(C)N)c2c3[pH]n2c13,0
CCC=C(O)C=O,6.068274975
