Smiles,Score
NC=S,0
c1csc(N2CCCC2)n1,9.725642562
O=Cc1cccc(=O)[nH]1,9.441817164
O=C1CC(c2cc3ccccc3s2)CN1,7.58724308
c1cc2nc(-c3nnn[nH]3)ccn2n1,8.121948242
OC(O)C1CCCCN1,3.996296406
[NH3+]CC12COC1CCC1C(=O)CC3=CCCC(C3)CC12,0
C1=Cc2cc3cc(-c4c[nH]c5cncnc45)c(cc4nc(cc5ccc(cc1n2)[nH]5)C=C4)[nH]3,0
O=[SH](=O)c1cnc[nH]1,0
O=c1nc[nH]c2ncc(C(F)(F)F)nc12,0
O=c1c(-[n+]2c[nH]c3nc[nH]c(=O)c32)coc2ccccc12,6.946588516
O=C1CCCN1c1ccc2ncccc2c1,8.990046501
C1=C(c2ccc3ccsc3c2)NCC1,0
CC(O)C1=CNC=CC1,0
c1ccc(-n2cccc2)nc1,8.999130487
CC(C)(C)c1nc2[nH]c[nH+]c2c(=O)[nH]1,0
CCNC(=O)CO,9.522738814
CN(C)n1ccc(=O)[nH]c1=O,0
O=CNN[n+]1c[nH]c2nc[nH]c(=O)c21,0
c1noc(-c2cnc3[nH]ccc3c2)n1,0
c1cc(-c2ccc3ncsc3c2)c2cccnc2c1,8.925692558
OB(O)n1ncc2cncnc21,0
CNC1CC=CCC1,8.771654606
CCc1c[nH]c2ccccc12,9.010962725
O=c1nc2n(-c3ccc4[nH]cnc(=O)c4c3)c3ccccc3nc-2c(=O)[nH]1,6.975950241
c1noc(-n2cnnn2)n1,7.723350286
CC(=O)NCc1cccc2c1C(=O)c1ccccc1C2=O,8.067607164
[Hg]c1nc[nH]n1,0
CCNC(=O)C1C[NH2+]CCO1,0
O=P(O)(O)n1ccc2cncnc21,0
C#CCc1ccncc1,8.861670732
O=C1C=CC(=O)C(c2cscn2)=C1,7.998548508
C1=COCC(c2ccccn2)C1,0
c1ncnc(C2CCCO2)n1,6.873651505
O=C1C=CC(c2ccc3ncccc3c2)CC1,7.443263769
C/C=C(\C)C1=CC(=O)NC1,6.843455315
O=CNS(=O)(=O)c1ccc2c(c1)CCC2,0
O=C1C=C(C2C=COCC2)CO1,0
O=C1c2ccccc2C(=O)c2c1cc1c(c2-c2c[nH]nn2)CCCC1,0
O=C1Cc2c3nc(cc4ccc(cc5nc(cc6cc1c2[nH]6)C=C5)[nH]4)C(C1CCC2C4CCc5ccccc5C4CCC12)C3,0
FC1=CC2CCC1O2,0
CC(=O)Nc1ccc2c(c1)Nc1[nH]c(=O)[nH]c(=O)c1N2,0
O=C1CC2CCC1(C1=CCOC3Nc4nc[nH]c(=O)c4NC13)C2,0
C=C1CCC(=C)C(c2nccc3ccccc23)C1,7.104271412
c1ccc(N2CCNCCNCCNCC2)[nH+]c1,0
O=C1C=CC(C2CCC3OC3C2)O1,5.87254858
CNC(=O)NCC1=CCC2CC3Cc4ccccc4C(=O)C3=CC2C1=O,0
O=C1Cc2c3nc(cc4ccc(cc5nc(cc6cc1c2[nH]6)C(n1c2nc(=O)[nH]c(=O)c-2nc2ccccc21)C5)[nH]4)CC3,0
c1ccc2c(c1)CNCC2c1c[nH]cn1,7.589273453
O=C1c2ccccc2C(=O)c2cc3c(cc21)CCC(c1ncnc2ccccc12)C3,5.917197227
CNC(=O)NC1CNCCN1,0
CNC(=O)C12CCC(CC1=O)C2,7.985608578
c1ccc2c(c1)CCC1C2CCC2C(C3COCO3)CCC12,0
C[NH+](C)c1nc2[nH]c[nH+]c2c(=O)[nH]1,0
O=C1C=C(C23CCCC2CCC2C4CCCCC4CCC23)CO1,0
O=c1[nH]cnc2cccc(C3CC4OCC3OC3CCC(CO3)OC3CCC(CO3)OC3CCC(CO3)OC3CCC(CO3)OC3CCC(CO3)O4)c12,0
O=C1NCc2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C1CC(c2ccc[nH+]c2)CC3O1,0
c1cc2nc(C3CC4OCC3OC3CCC(CO3)OC3CCC(CO3)OC3CCC(CO3)OC3CCC(CO3)OC3CCC(CO3)OC3CCC(CO3)O4)ccn2n1,0
